table_name	column_name	ordinal_position	data_type	is_nullable	column_default
general_ticker_pat_train_user	deduct_info	14	longtext	YES	<NULL>
general_ticker_pat_train_user	speed	15	varchar	YES	<NULL>
general_ticker_pat_train_user	speed_log	16	varchar	YES	<NULL>
general_ticker_pat_train_user	statistic_info	17	longtext	YES	<NULL>
general_ticker_pat_train_user	user_id	18	varchar	YES	<NULL>
general_ticker_pat_train_user_value	attempt	1	int	YES	<NULL>
general_ticker_pat_train_user_value	floor_number	2	int	YES	<NULL>
general_ticker_pat_train_user_value	id	3	int	NO	<NULL>
general_ticker_pat_train_user_value	train_id	4	int	YES	<NULL>
general_ticker_pat_train_user_value	received_at	5	datetime	YES	<NULL>
general_ticker_pat_train_user_value	capture_intervals	6	longtext	YES	<NULL>
general_ticker_pat_train_user_value	finish_info	7	longtext	YES	<NULL>
general_ticker_pat_train_user_value	message_body	8	longtext	YES	<NULL>
general_ticker_pat_train_user_value	resolver	9	longtext	YES	<NULL>
general_ticker_pat_train_user_value	standard	10	longtext	YES	<NULL>
general_ticker_pat_train_user_value	user_id	11	varchar	YES	<NULL>
group_net_train	device_id	1	int	YES	<NULL>
group_net_train	device_type	2	int	YES	<NULL>
group_net_train	id	3	int	NO	<NULL>
group_net_train	score	4	decimal	YES	<NULL>
group_net_train	create_time	5	datetime	YES	<NULL>
group_net_train	answer	6	longtext	YES	<NULL>
group_net_train	content	7	longtext	YES	<NULL>
group_net_train	create_user	8	varchar	YES	<NULL>
group_net_train	scoring_rule_content	9	longtext	YES	<NULL>
group_net_train	topic	10	longtext	YES	<NULL>
hand_key_err_log	id	1	int	NO	<NULL>
hand_key_err_log	create_time	2	datetime	YES	<NULL>
hand_key_err_log	exeception_message	3	varchar	YES	<NULL>
hand_key_err_log	param	4	varchar	YES	<NULL>
hand_key_err_log	train_id	5	varchar	YES	<NULL>
hand_key_err_log	user_id	6	varchar	YES	<NULL>
simulation_router_room	id	1	int	NO	<NULL>
simulation_router_room	is_cable	2	int	YES	<NULL>
simulation_router_room	is_start_sign	3	int	YES	<NULL>
simulation_router_room	play_status	4	int	YES	<NULL>
simulation_router_room	room_type	5	int	YES	<NULL>
simulation_router_room	stats	6	int	YES	<NULL>
simulation_router_room	total_time	7	int	YES	<NULL>
simulation_router_room	create_time	8	datetime	YES	<NULL>
simulation_router_room	start_time	9	datetime	YES	<NULL>
simulation_router_room	create_user_id	10	varchar	YES	<NULL>
simulation_router_room	name	11	varchar	YES	<NULL>
simulation_router_room	setting	12	varchar	YES	<NULL>
simulation_router_room_content	bd_type	1	int	YES	<NULL>
simulation_router_room_content	bw_count	2	int	YES	<NULL>
simulation_router_room_content	bw_type	3	int	YES	<NULL>
simulation_router_room_content	id	4	int	NO	<NULL>
simulation_router_room_content	is_random	5	int	YES	<NULL>
simulation_router_room_content	room_id	6	int	YES	<NULL>
simulation_router_room_content	content	7	varchar	YES	<NULL>
simulation_router_room_content	interference_signal	8	varchar	YES	<NULL>
simulation_router_room_content	main_signal	9	varchar	YES	<NULL>
simulation_router_room_page	page_number	1	int	NO	<NULL>
simulation_router_room_page	room_id	2	int	NO	<NULL>
simulation_router_room_page	sort	3	int	NO	<NULL>
simulation_router_room_page	id	4	varchar	NO	<NULL>
simulation_router_room_page	key	5	varchar	YES	<NULL>
simulation_router_room_page_value	id	1	int	NO	<NULL>
simulation_router_room_page_value	page_number	2	int	NO	<NULL>
simulation_router_room_page_value	room_id	3	int	NO	<NULL>
simulation_router_room_page_value	user_id	4	varchar	NO	<NULL>
simulation_router_room_page_value	value	5	longtext	YES	<NULL>
simulation_router_room_user	channel	1	int	YES	<NULL>
simulation_router_room_user	id	2	int	NO	<NULL>
simulation_router_room_user	room_id	3	int	YES	<NULL>
simulation_router_room_user	user_status	4	int	YES	<NULL>
simulation_router_room_user	user_type	5	int	YES	<NULL>
simulation_router_room_user	content_value	6	varchar	YES	<NULL>
simulation_router_room_user	user_id	7	varchar	YES	<NULL>
t_cable	code_count	1	int	YES	<NULL>
t_cable	code_sort	2	int	YES	<NULL>
t_cable	code_type	3	int	YES	<NULL>
t_cable	floor_count	4	int	YES	<NULL>
t_cable	group_count	5	int	YES	<NULL>
t_cable	scope	6	int	YES	<NULL>
t_cable	create_time	7	datetime	YES	<NULL>
t_cable	id	8	varchar	NO	<NULL>
t_cable	remark	9	varchar	YES	<NULL>
t_cable	title	10	varchar	YES	<NULL>
t_cable	type_id	11	varchar	YES	<NULL>
t_cable	type_title	12	varchar	YES	<NULL>
t_cable_floor	floor_number	1	int	YES	<NULL>
t_cable_floor	sort	2	int	YES	<NULL>
t_cable_floor	cable_id	3	varchar	YES	<NULL>
t_cable_floor	id	4	varchar	NO	<NULL>
t_cable_floor	mores_key	5	varchar	YES	<NULL>
t_cable_floor	type_id	6	varchar	YES	<NULL>
t_cable_type	id	1	varchar	NO	<NULL>
t_cable_type	title	2	varchar	YES	<NULL>
t_device	device_type_id	1	int	YES	<NULL>
t_device	id	2	int	NO	<NULL>
t_device	create_time	3	datetime	YES	<NULL>
t_device	device_img	4	varchar	YES	<NULL>
t_device	device_name	5	varchar	YES	<NULL>
t_device	device_number	6	varchar	YES	<NULL>
t_device	user_id	7	varchar	YES	<NULL>
t_device_description	device_id	1	int	YES	<NULL>
t_device_description	id	2	int	NO	<NULL>
t_device_description	create_time	3	datetime	YES	<NULL>
t_device_description	content	4	varchar	YES	<NULL>
t_device_description	title	5	varchar	YES	<NULL>
t_device_description	user_id	6	varchar	YES	<NULL>
t_device_type	id	1	int	NO	<NULL>
t_device_type	create_time	2	datetime	YES	<NULL>
t_device_type	type_name	3	varchar	YES	<NULL>
t_device_type	user_id	4	varchar	YES	<NULL>
t_entering_exercise	accuracy	1	double	YES	<NULL>
t_entering_exercise	correct_num	2	int	YES	<NULL>
t_entering_exercise	duration	3	int	YES	<NULL>
t_entering_exercise	error_num	4	int	YES	<NULL>
t_entering_exercise	speed	5	int	YES	<NULL>
t_entering_exercise	status	6	int	YES	<NULL>
t_entering_exercise	type	7	int	YES	<NULL>
t_entering_exercise	create_time	8	datetime	YES	<NULL>
t_entering_exercise	end_time	9	datetime	YES	<NULL>
t_entering_exercise	start_time	10	datetime	YES	<NULL>
t_entering_exercise	content	11	varchar	YES	<NULL>
t_entering_exercise	create_user_id	12	varchar	YES	<NULL>
t_entering_exercise	id	13	varchar	NO	<NULL>
t_entering_exercise	name	14	varchar	YES	<NULL>
t_entering_exercise_word_stock	id	1	int	NO	<NULL>
t_entering_exercise_word_stock	type	2	int	YES	<NULL>
t_entering_exercise_word_stock	content	3	varchar	YES	<NULL>
t_entering_key_points	type	1	int	YES	<NULL>
t_entering_key_points	content	2	varchar	YES	<NULL>
t_entering_key_points	id	3	varchar	NO	<NULL>
t_entering_statistical	avg_speed	1	decimal	YES	<NULL>
t_entering_statistical	child_type	2	int	YES	<NULL>
t_entering_statistical	total_count	3	int	YES	<NULL>
t_entering_statistical	type	4	int	YES	<NULL>
t_entering_statistical	id	5	varchar	NO	<NULL>
t_entering_statistical	total_time	6	varchar	YES	<NULL>
t_entering_statistical	user_id	7	varchar	YES	<NULL>
t_entering_telex_pat	total_error	1	int	YES	<NULL>
t_entering_telex_pat	total_num	2	int	YES	<NULL>
t_entering_telex_pat	total_time	3	int	YES	<NULL>
t_entering_telex_pat	type	4	int	YES	<NULL>
t_entering_telex_pat	create_time	5	datetime	YES	<NULL>
t_entering_telex_pat	create_user_id	6	varchar	YES	<NULL>
t_entering_telex_pat	id	7	varchar	NO	<NULL>
t_entering_telex_pat	message_name	8	varchar	YES	<NULL>
t_equipment_device	is_enable	1	int	NO	<NULL>
t_equipment_device	create_time	2	datetime	YES	<NULL>
t_equipment_device	device_id	3	varchar	YES	<NULL>
t_equipment_device	id	4	varchar	NO	<NULL>
t_equipment_device	image	5	varchar	YES	<NULL>
t_equipment_device	key_points	6	varchar	YES	<NULL>
t_equipment_device	name	7	varchar	YES	<NULL>
t_equipment_device	option	8	varchar	YES	<NULL>
t_equipment_train	train_status	1	int	YES	<NULL>
t_equipment_train	train_type	2	int	YES	<NULL>
t_equipment_train	train_time	3	datetime	YES	<NULL>
t_equipment_train	content	4	varchar	YES	<NULL>
t_equipment_train	device_id	5	varchar	YES	<NULL>
t_equipment_train	device_name	6	varchar	YES	<NULL>
t_equipment_train	id	7	varchar	NO	<NULL>
t_equipment_train	train_name	8	varchar	YES	<NULL>
t_equipment_train	user_id	9	varchar	YES	<NULL>
t_general_group_net_rule	id	1	int	NO	<NULL>
t_general_group_net_rule	create_time	2	datetime	YES	<NULL>
t_general_group_net_rule	code	3	varchar	YES	<NULL>
t_general_group_net_rule	device	4	varchar	YES	<NULL>
t_general_group_net_rule	xy_score	5	varchar	YES	<NULL>
t_grading_rule	is_default	1	int	YES	<NULL>
t_grading_rule	score	2	int	YES	<NULL>
t_grading_rule	status	3	int	YES	<NULL>
t_grading_rule	type	4	int	YES	<NULL>
t_grading_rule	content	5	longtext	YES	<NULL>
t_grading_rule	id	6	varchar	NO	<NULL>
t_grading_rule	title	7	varchar	YES	<NULL>
t_key_points	type	1	int	YES	<NULL>
t_key_points	content	2	varchar	YES	<NULL>
t_key_points	id	3	varchar	NO	<NULL>
t_masthead	content	1	varchar	YES	<NULL>
t_masthead	id	2	varchar	NO	<NULL>
t_masthead	train_id	3	varchar	YES	<NULL>
t_menus	is_bread	1	int	YES	<NULL>
t_menus	is_menu	2	int	YES	<NULL>
t_menus	keep_alive	3	int	YES	<NULL>
t_menus	sort	4	int	YES	<NULL>
t_menus	component	5	varchar	YES	<NULL>
t_menus	height	6	varchar	YES	<NULL>
t_menus	icon	7	varchar	YES	<NULL>
t_menus	icon_f	8	varchar	YES	<NULL>
t_menus	id	9	varchar	NO	<NULL>
t_menus	key	10	varchar	YES	<NULL>
t_menus	name	11	varchar	YES	<NULL>
t_menus	parent_id	12	varchar	YES	<NULL>
t_menus	path	13	varchar	YES	<NULL>
t_menus	title	14	varchar	YES	<NULL>
t_menus_button	id	1	varchar	NO	<NULL>
t_menus_button	key	2	varchar	YES	<NULL>
t_menus_button	menus_id	3	varchar	YES	<NULL>
t_menus_button	title	4	varchar	YES	<NULL>
t_military_term_data	sort	1	int	YES	<NULL>
t_military_term_data	id	2	varchar	NO	<NULL>
t_military_term_data	key	3	varchar	YES	<NULL>
t_military_term_data	parent_id	4	varchar	YES	<NULL>
t_military_term_data	value	5	varchar	YES	<NULL>
t_post_entering_exercise	accuracy	1	double	YES	<NULL>
t_post_entering_exercise	correct_num	2	int	YES	<NULL>
t_post_entering_exercise	duration	3	int	YES	<NULL>
t_post_entering_exercise	error_num	4	int	YES	<NULL>
t_post_entering_exercise	speed	5	int	YES	<NULL>
t_post_entering_exercise	status	6	int	YES	<NULL>
t_post_entering_exercise	type	7	int	YES	<NULL>
t_post_entering_exercise	create_time	8	datetime	YES	<NULL>
t_post_entering_exercise	end_time	9	datetime	YES	<NULL>
t_post_entering_exercise	start_time	10	datetime	YES	<NULL>
t_post_entering_exercise	content	11	varchar	YES	<NULL>
t_post_entering_exercise	create_user_id	12	varchar	YES	<NULL>
t_post_entering_exercise	id	13	varchar	NO	<NULL>
t_post_entering_exercise	name	14	varchar	YES	<NULL>
t_post_entering_exercise_word_stock	id	1	int	NO	<NULL>
t_post_entering_exercise_word_stock	type	2	int	YES	<NULL>
t_post_entering_exercise_word_stock	word_size	3	int	YES	<NULL>
t_post_entering_exercise_word_stock	create_time	4	datetime	YES	<NULL>
t_post_entering_exercise_word_stock	content	5	varchar	YES	<NULL>
t_post_entering_exercise_word_stock	create_user_id	6	varchar	YES	<NULL>
t_post_entering_exercise_word_stock	name	7	varchar	YES	<NULL>
t_post_military_term_train	accuracy	1	decimal	YES	<NULL>
t_post_military_term_train	correct_number	2	int	YES	<NULL>
t_post_military_term_train	duration	3	int	YES	<NULL>
t_post_military_term_train	error_number	4	int	YES	<NULL>
t_post_military_term_train	score	5	decimal	YES	<NULL>
t_post_military_term_train	status	6	int	YES	<NULL>
t_post_military_term_train	total_number	7	int	YES	<NULL>
t_post_military_term_train	create_time	8	datetime	YES	<NULL>
t_post_military_term_train	end_time	9	datetime	YES	<NULL>
t_post_military_term_train	start_time	10	datetime	YES	<NULL>
t_post_military_term_train	id	11	varchar	NO	<NULL>
t_post_military_term_train	name	12	varchar	YES	<NULL>
t_post_military_term_train	types	13	varchar	YES	<NULL>
t_post_military_term_train	user_id	14	varchar	YES	<NULL>
t_post_military_term_train_test_paper	correct_answer	1	varchar	YES	<NULL>
t_post_military_term_train_test_paper	id	2	varchar	NO	<NULL>
t_post_military_term_train_test_paper	option	3	varchar	YES	<NULL>
t_post_military_term_train_test_paper	title	4	varchar	YES	<NULL>
t_post_military_term_train_test_paper	train_id	5	varchar	YES	<NULL>
t_post_military_term_train_test_paper	user_answer	6	varchar	YES	<NULL>
t_post_radiotelephone_term_data	id	1	int	NO	<NULL>
t_post_radiotelephone_term_data	sort	2	int	YES	<NULL>
t_post_radiotelephone_term_data	type	3	int	YES	<NULL>
t_post_radiotelephone_term_data	key	4	varchar	YES	<NULL>
t_post_radiotelephone_term_data	value	5	varchar	YES	<NULL>
t_post_radiotelephone_train	accuracy	1	decimal	YES	<NULL>
t_post_radiotelephone_train	duration	2	int	YES	<NULL>
t_post_radiotelephone_train	error_number	3	int	YES	<NULL>
t_post_radiotelephone_train	number	4	int	YES	<NULL>
t_post_radiotelephone_train	pass_number	5	int	YES	<NULL>
t_post_radiotelephone_train	score	6	decimal	YES	<NULL>
t_post_radiotelephone_train	speed	7	decimal	YES	<NULL>
t_post_radiotelephone_train	status	8	int	YES	<NULL>
t_post_radiotelephone_train	train_type	9	int	YES	<NULL>
t_post_radiotelephone_train	type	10	int	YES	<NULL>
t_post_radiotelephone_train	create_time	11	datetime	YES	<NULL>
t_post_radiotelephone_train	end_time	12	datetime	YES	<NULL>
t_post_radiotelephone_train	start_time	13	datetime	YES	<NULL>
t_post_radiotelephone_train	content	14	varchar	YES	<NULL>
t_post_radiotelephone_train	disturb	15	varchar	YES	<NULL>
t_post_radiotelephone_train	id	16	varchar	NO	<NULL>
t_post_radiotelephone_train	name	17	varchar	YES	<NULL>
t_post_radiotelephone_train	user_id	18	varchar	YES	<NULL>
t_post_telegram_train	attempt	1	int	YES	<NULL>
t_post_telegram_train	code_sort	2	int	YES	<NULL>
t_post_telegram_train	error_number	3	int	YES	<NULL>
t_post_telegram_train	floor_now	4	int	YES	<NULL>
t_post_telegram_train	full_score	5	int	YES	<NULL>
t_post_telegram_train	is_average	6	int	YES	<NULL>
t_post_telegram_train	is_cable	7	int	YES	<NULL>
t_post_telegram_train	is_random	8	int	YES	<NULL>
t_post_telegram_train	lack	9	int	YES	<NULL>
t_post_telegram_train	message_number	10	int	YES	<NULL>
t_post_telegram_train	protocol_version	11	int	YES	<NULL>
t_post_telegram_train	status	12	int	YES	<NULL>
t_post_telegram_train	type	13	int	YES	<NULL>
t_post_telegram_train	active_millis	14	bigint	YES	<NULL>
t_post_telegram_train	create_time	15	datetime	YES	<NULL>
t_post_telegram_train	end_time	16	datetime	YES	<NULL>
t_post_telegram_train	start_time	17	datetime	YES	<NULL>
t_post_telegram_train	valid_time	18	bigint	YES	<NULL>
t_post_telegram_train	accuracy	19	varchar	YES	<NULL>
t_post_telegram_train	create_user	20	varchar	YES	<NULL>
t_post_telegram_train	deduct_info	21	longtext	YES	<NULL>
t_post_telegram_train	finish_info	22	varchar	YES	<NULL>
t_post_telegram_train	id	23	varchar	NO	<NULL>
t_post_telegram_train	name	24	varchar	YES	<NULL>
t_post_telegram_train	rule_content	25	longtext	YES	<NULL>
t_post_telegram_train	rule_id	26	varchar	YES	<NULL>
t_post_telegram_train	score	27	varchar	YES	<NULL>
t_post_telegram_train	speed	28	varchar	YES	<NULL>
t_post_telegram_train	speed_log	29	varchar	YES	<NULL>
t_post_telegram_train	statistic_info	30	longtext	YES	<NULL>
t_post_telegram_train_content_value	floor_number	1	int	YES	<NULL>
t_post_telegram_train_content_value	id	2	varchar	NO	<NULL>
t_post_telegram_train_content_value	message_body	3	varchar	YES	<NULL>
t_post_telegram_train_content_value	train_id	4	varchar	YES	<NULL>
t_post_telegram_train_floor_content	floor_number	1	int	YES	<NULL>
t_post_telegram_train_floor_content	sort	2	int	YES	<NULL>
t_post_telegram_train_floor_content	id	3	varchar	NO	<NULL>
t_post_telegram_train_floor_content	mores_key	4	varchar	YES	<NULL>
t_post_telegram_train_floor_content	mores_time	5	varchar	YES	<NULL>
t_post_telegram_train_floor_content	mores_value	6	varchar	YES	<NULL>
t_post_telegram_train_floor_content	pat_keys	7	varchar	YES	<NULL>
t_post_telegram_train_floor_content	train_id	8	varchar	YES	<NULL>
t_post_telegram_train_floor_content_value	attempt	1	int	YES	<NULL>
t_post_telegram_train_floor_content_value	floor_number	2	int	YES	<NULL>
t_post_telegram_train_floor_content_value	received_at	3	datetime	YES	<NULL>
t_post_telegram_train_floor_content_value	capture_intervals	4	longtext	YES	<NULL>
t_post_telegram_train_floor_content_value	finish_info	5	longtext	YES	<NULL>
t_post_telegram_train_floor_content_value	id	6	varchar	NO	<NULL>
t_post_telegram_train_floor_content_value	message_body	7	longtext	YES	<NULL>
t_post_telegram_train_floor_content_value	resolver	8	longtext	YES	<NULL>
t_post_telegram_train_floor_content_value	standard	9	longtext	YES	<NULL>
t_post_telegram_train_floor_content_value	train_id	10	varchar	YES	<NULL>
t_post_telegraph_key_pat_train	accuracy	1	double	NO	<NULL>
t_post_telegraph_key_pat_train	attempt	2	int	NO	<NULL>
t_post_telegraph_key_pat_train	error_number	3	int	YES	<NULL>
t_post_telegraph_key_pat_train	full_score	4	decimal	YES	<NULL>
t_post_telegraph_key_pat_train	is_cable	5	int	YES	<NULL>
t_post_telegraph_key_pat_train	message_type	6	int	YES	<NULL>
t_post_telegraph_key_pat_train	protocol_version	7	int	NO	<NULL>
t_post_telegraph_key_pat_train	score	8	decimal	YES	<NULL>
t_post_telegraph_key_pat_train	status	9	int	YES	<NULL>
t_post_telegraph_key_pat_train	total_number	10	int	YES	<NULL>
t_post_telegraph_key_pat_train	begin_time	11	datetime	YES	<NULL>
t_post_telegraph_key_pat_train	create_time	12	datetime	YES	<NULL>
t_post_telegraph_key_pat_train	end_time	13	datetime	YES	<NULL>
t_post_telegraph_key_pat_train	content	14	varchar	YES	<NULL>
t_post_telegraph_key_pat_train	create_user_id	15	varchar	YES	<NULL>
t_post_telegraph_key_pat_train	deduct_info	16	longtext	YES	<NULL>
t_post_telegraph_key_pat_train	duration	17	varchar	YES	<NULL>
t_post_telegraph_key_pat_train	id	18	varchar	NO	<NULL>
t_post_telegraph_key_pat_train	rule_content	19	longtext	YES	<NULL>
t_post_telegraph_key_pat_train	rule_id	20	varchar	YES	<NULL>
t_post_telegraph_key_pat_train	speed	21	varchar	YES	<NULL>
t_post_telegraph_key_pat_train	title	22	varchar	YES	<NULL>
t_post_telegraph_key_pat_train_more	page_number	1	int	YES	<NULL>
t_post_telegraph_key_pat_train_more	id	2	varchar	NO	<NULL>
t_post_telegraph_key_pat_train_more	more_group	3	varchar	YES	<NULL>
